172.20.0.1 - - [12/Apr/2026:10:03:01 +0000] "GET /alerts/count HTTP/1.1" 308 164 "http://localhost:8080/dashboard" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:03:27 +0000] "GET / HTTP/1.1" 308 164 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:03:38 +0000] "HEAD / HTTP/1.1" 308 0 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:03:47 +0000] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.18.0" rt=0.011 uct=0.000 urt=0.012
172.20.0.1 - - [12/Apr/2026:10:04:42 +0000] "GET / HTTP/1.1" 200 75002 "-" "TLS tester from https://testssl.sh/" rt=0.005 uct=0.000 urt=0.005
172.20.0.1 - - [12/Apr/2026:10:05:16 +0000] "GET / HTTP/1.1" 200 75002 "-" "TLS tester from https://testssl.sh/" rt=0.002 uct=0.000 urt=0.002
172.20.0.1 - - [12/Apr/2026:10:05:17 +0000] "GET / HTTP/1.1" 200 75002 "-" "TLS tester from https://testssl.sh/" rt=0.002 uct=0.000 urt=0.002
172.20.0.1 - - [12/Apr/2026:10:05:23 +0000] "GET / HTTP/1.1" 200 75002 "https://google.com/" "TLS tester from https://testssl.sh/" rt=0.003 uct=0.000 urt=0.002
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 500 2373 "-" "curl/8.18.0" rt=0.020 uct=0.000 urt=0.021
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 500 2373 "-" "curl/8.18.0" rt=0.004 uct=0.000 urt=0.003
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 500 2373 "-" "curl/8.18.0" rt=0.002 uct=0.000 urt=0.002
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 500 2373 "-" "curl/8.18.0" rt=0.002 uct=0.000 urt=0.002
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 500 2373 "-" "curl/8.18.0" rt=0.003 uct=0.000 urt=0.002
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 500 2373 "-" "curl/8.18.0" rt=0.002 uct=0.000 urt=0.003
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 429 162 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 429 162 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 429 162 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 429 162 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 429 162 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
172.20.0.1 - - [12/Apr/2026:10:05:49 +0000] "POST /rest/user/login HTTP/1.1" 429 162 "-" "curl/8.18.0" rt=0.000 uct=- urt=-
