NAME                  INSTALLED                    FIXED IN         TYPE  VULNERABILITY        SEVERITY    EPSS          RISK   
lodash                2.4.2                        4.17.21          npm   GHSA-35jh-r3h4-6jhm  High        22.4% (97th)  16.5   
jsonwebtoken          0.1.0                        4.2.2            npm   GHSA-c7hr-j4mj-j2w6  Critical    7.2% (93rd)   6.5    
jsonwebtoken          0.4.0                        4.2.2            npm   GHSA-c7hr-j4mj-j2w6  Critical    7.2% (93rd)   6.5    
moment                2.0.0                        2.11.2           npm   GHSA-87vv-r9j6-g5qv  Medium      9.9% (94th)   5.7    
lodash                2.4.2                        4.17.12          npm   GHSA-jf85-cpcp-j695  Critical    5.0% (91st)   4.5    
moment                2.0.0                        2.29.2           npm   GHSA-8hfj-j24r-96c4  High        5.4% (91st)   4.0    
lodash.set            4.3.2                                         npm   GHSA-p6mc-m468-83gw  High        5.2% (91st)   3.9    
moment                2.0.0                        2.19.3           npm   GHSA-446m-mv8f-q348  High        3.7% (88th)   2.8    
lodash                2.4.2                        4.17.11          npm   GHSA-4xc9-xhrj-v574  High        1.9% (76th)   1.4    
lodash                2.4.2                        4.17.5           npm   GHSA-fvqr-27wr-82fm  Medium      2.4% (81st)   1.4    
http-cache-semantics  3.8.1                        4.1.1            npm   GHSA-rc47-6667-2j5j  High        1.6% (72nd)   1.2    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-45447       High        1.4% (69th)   1.1    
engine.io             4.1.2                        6.2.1            npm   GHSA-r7qp-cfhv-p84w  Medium      1.9% (77th)   1.1    
ws                    7.4.6                        7.5.10           npm   GHSA-3h5v-q93c-6h6q  High        1.3% (67th)   1.0    
sanitize-html         1.4.2                        2.3.1            npm   GHSA-rjqq-98f6-6j3r  Medium      2.0% (77th)   1.0    
got                   8.3.2                        11.8.5           npm   GHSA-pfrx-2q88-qq97  Medium      1.9% (76th)   1.0    
sanitize-html         1.4.2                        2.3.2            npm   GHSA-mjxr-4v3x-q3m4  Medium      1.8% (75th)   0.9    
sanitize-html         1.4.2                        2.7.1            npm   GHSA-cgfm-xwp7-2cvr  High        1.1% (61st)   0.8    
express-jwt           0.1.3                        6.0.0            npm   GHSA-6g6m-m6h5-w9gf  High        1.1% (60th)   0.8    
sanitize-html         1.4.2                        1.11.4           npm   GHSA-xc6g-ggrc-qq4r  Medium      1.4% (68th)   0.7    
socket.io-parser      4.0.5                        4.2.3            npm   GHSA-cqmj-92xf-r6r9  Medium      1.1% (59th)   0.6    
crypto-js             3.3.0                        4.2.0            npm   GHSA-xwcq-pm8m-c4vf  Critical    0.6% (45th)   0.6    
notevil               1.3.3                                         npm   GHSA-8g4m-cjm2-96wq  Medium      1.0% (58th)   0.6    
tar                   4.4.19                       6.2.1            npm   GHSA-f5x3-32g6-xq36  Medium      0.9% (55th)   0.5    
sanitize-html         1.4.2                        2.12.1           npm   GHSA-rm97-x556-q36h  Medium      1.0% (58th)   0.5    
libssl3t64            3.5.5-1~deb13u2              3.5.6-1~deb13u2  deb   CVE-2026-42764       High        0.7% (46th)   0.5    
multer                1.4.5-lts.2                  2.0.0            npm   GHSA-4pg4-qvpc-4q3h  High        0.7% (46th)   0.5    
multer                1.4.5-lts.2                  2.0.0            npm   GHSA-44fp-w29j-9vj5  High        0.7% (46th)   0.5    
multer                1.4.5-lts.2                  2.0.2            npm   GHSA-fjgf-rc76-4x9p  High        0.6% (46th)   0.5    
ws                    7.4.6                        7.5.11           npm   GHSA-96hv-2xvq-fx4p  High        0.6% (45th)   0.5    
ws                    8.17.1                       8.21.0           npm   GHSA-96hv-2xvq-fx4p  High        0.6% (45th)   0.5    
sanitize-html         1.4.2                        1.4.3            npm   GHSA-3j7m-hmh3-9jmp  Medium      0.8% (53rd)   0.5    
multer                1.4.5-lts.2                  2.1.0            npm   GHSA-v52c-386h-88mc  High        0.6% (41st)   0.4    
multer                1.4.5-lts.2                  2.1.0            npm   GHSA-xf7r-hgr6-v32p  High        0.6% (41st)   0.4    
multer                1.4.5-lts.2                  2.1.1            npm   GHSA-5528-5vmv-3xc2  High        0.5% (41st)   0.4    
libc6                 2.41-12+deb13u2              (won't fix)      deb   CVE-2026-5450        Critical    0.5% (35th)   0.4    
socket.io             3.1.2                        4.6.2            npm   GHSA-25hc-qcg6-38wj  Medium      0.7% (47th)   0.4    
socket.io-parser      4.0.5                        4.2.6            npm   GHSA-677m-j7p3-52f9  High        0.5% (39th)   0.4    
tar                   4.4.19                       7.5.7            npm   GHSA-34x7-hfp2-rc4v  High        0.5% (39th)   0.4    
