"Risk","Alert","Confidence","Instances"
"Medium (High)","Content Security Policy (CSP) Header Not Set","3","5"
"Medium (Medium)","Cross-Domain Misconfiguration","2","5"
"Low (Medium)","Cross-Domain JavaScript Source File Inclusion","2","5"
"Low (Medium)","Cross-Origin-Embedder-Policy Header Missing or Invalid","2","5"
"Low (Medium)","Cross-Origin-Opener-Policy Header Missing or Invalid","2","5"
"Low (Low)","Dangerous JS Functions","1","2"
"Low (Medium)","Deprecated Feature Policy Header Set","2","5"
"Low (Low)","Timestamp Disclosure - Unix","1","5"
"Informational (Medium)","Modern Web Application","2","5"
"Informational (Medium)","Non-Storable Content","2","4"
"Informational (Medium)","Storable and Cacheable Content","2","2"
"Informational (Medium)","Storable but Non-Cacheable Content","2","5"
