id,ProductId,quantity,createdAt,updatedAt,limitPerUser
1,1,46,2026-03-04 09:18:13.738 +00:00,2026-03-04 09:18:13.738 +00:00,5
2,2,77,2026-03-04 09:18:13.738 +00:00,2026-03-04 09:18:13.738 +00:00,NULL
3,3,88,2026-03-04 09:18:13.738 +00:00,2026-03-04 09:18:13.738 +00:00,NULL
4,4,77,2026-03-04 09:18:13.738 +00:00,2026-03-04 09:18:13.738 +00:00,NULL
5,5,31,2026-03-04 09:18:13.738 +00:00,2026-03-04 09:18:13.738 +00:00,5
6,6,59,2026-03-04 09:18:13.738 +00:00,2026-03-04 09:18:13.738 +00:00,NULL
7,7,95,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,5
8,8,77,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
9,9,88,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
10,10,80,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
11,11,83,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
12,12,95,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
13,13,75,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
14,14,50,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
15,15,46,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
16,16,41,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
17,17,76,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
18,18,74,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
19,19,94,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
20,20,5,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,5
21,21,36,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
22,22,73,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
23,23,68,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
24,24,92,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,5
25,25,77,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
26,26,75,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
27,27,0,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
28,28,39,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
29,29,96,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
30,30,39,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
31,31,54,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
32,32,57,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
33,33,3,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
34,34,0,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
35,35,8,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
36,36,0,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
37,37,0,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
38,38,0,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
39,39,77,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,5
40,40,2,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
41,41,1,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
42,42,1,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,NULL
43,43,3,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
44,44,72,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
45,45,3,2026-03-04 09:18:13.739 +00:00,2026-03-04 09:18:13.739 +00:00,1
46,46,85,2026-03-04 09:18:13.740 +00:00,2026-03-04 09:18:13.740 +00:00,1

