id,ProductId,quantity,createdAt,updatedAt,limitPerUser
1,1,55,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,5
2,2,96,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
3,3,53,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
4,4,34,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
5,5,51,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,5
6,6,95,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
7,7,51,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,5
8,8,72,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
9,9,92,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
10,10,45,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
11,11,94,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
12,12,56,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
13,13,38,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
14,14,63,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
15,15,40,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
16,16,49,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
17,17,74,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
18,18,69,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
19,19,72,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
20,20,5,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,5
21,21,61,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
22,22,78,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
23,23,72,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
24,24,32,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,5
25,25,94,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
26,26,84,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
27,27,0,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
28,28,71,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
29,29,64,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
30,30,46,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
31,31,92,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
32,32,96,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
33,33,3,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
34,34,0,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
35,35,8,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
36,36,0,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
37,37,0,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
38,38,0,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
39,39,50,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,5
40,40,2,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
41,41,1,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
42,42,1,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,NULL
43,43,3,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
44,44,69,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
45,45,3,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1
46,46,78,2026-03-09 07:05:15.156 +00:00,2026-03-09 07:05:15.156 +00:00,1

